#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.12382    -1.12382           0
           2   -0.616303   -0.870059    0.179433
           3   -0.465585   -0.735234    0.162566
           4   -0.427497     -0.6583    0.138942
           5   -0.418095   -0.610259     0.11917
           6   -0.379127   -0.571737    0.105351
           7   -0.377506    -0.54399   0.0938834
           8   -0.350596   -0.519816   0.0852035
           9   -0.387409   -0.505104   0.0769961
          10   -0.389051   -0.493498   0.0701657
          11   -0.364038   -0.481729   0.0647665
          12   -0.357164   -0.471349   0.0601954
          13   -0.424366   -0.467735   0.0556733
          14   -0.390006   -0.462183   0.0519728
          15   -0.386124   -0.457112   0.0487547
          16   -0.373059   -0.451859   0.0459896
          17   -0.345849   -0.445623   0.0437051
          18   -0.311054   -0.438147   0.0419116
          19   -0.301002   -0.430929   0.0403225
          20   -0.359345    -0.42735   0.0384649
